record_id,date,asset_id,equipment_type,location,reported_by,complaint,root_cause,fix_steps,parts_used,cost_inr,downtime_hours,urgency,safety_critical,prior_failures_on_asset,prior_same_cause_on_asset,technician_notes,status,source
MR-0076,2025-04-10,PRJ-007,Projector,"Block C, 2nd floor",security guard,Projector display flickering. Reported by admin staff.,Faulty HDMI cable or input port,Swap the HDMI cable | Test other input ports | Replace the cable or port board,HDMI cable,1050,1.5,Low,False,1,1,Found faulty HDMI cable or input port. Swap the HDMI cable. Recurring issue - 1 similar failure(s) earlier on this asset. Tested after repair; operating normally.,resolved,seed
MR-0078,2025-04-15,LT-001,Lighting,"Block D, 1st floor",housekeeping supervisor,"Lights buzzing and flickering, also tube lights flickering in the corridor. Happening since last week. Location: Block D, 1st floor.",Failed LED driver or ballast,Test the driver output | Replace the driver or ballast | Confirm stable lighting,LED driver,300,1.0,Low,False,3,0,Found failed LED driver or ballast. Test the driver output. Verified operation with the user before closing the ticket.,resolved,seed
MR-0079,2025-04-19,PL-002,Plumbing,"Hostel 1, Ground floor",student,"Hostel 1, Ground floor: Tap dripping continuously. Please check.",Worn tap washer or faulty flush valve,Replace the tap washer or cartridge | Replace the flush valve or float | Check for leaks,"tap washer, flush valve",750,0.5,Low,False,0,0,Found worn tap washer or faulty flush valve. Replace the tap washer or cartridge. Verified operation with the user before closing the ticket.,resolved,seed
MR-0080,2025-04-19,RO-002,Water purifier,"Admin Building, 1st floor",security guard,"Cooler compressor noisy in Admin Building, 1st floor.",Cooling unit failure in the water cooler,Check thermostat and compressor | Recharge gas or replace the thermostat | Test the cooling cycle,"refrigerant gas, thermostat",3150,2.0,Low,False,2,1,Found cooling unit failure in the water cooler. Check thermostat and compressor. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0081,2025-04-24,CCTV-002,CCTV system,Main gate,security guard,CCTV camera offline.,Camera cable or PoE switch port failure,Check the camera power and cable | Test the PoE switch port | Replace the cable or move to a spare port,"network cable, PoE injector",1650,2.5,Medium,False,0,0,Found camera cable or PoE switch port failure. Check the camera power and cable. Tested after repair; operating normally.,resolved,seed
MR-0082,2025-04-29,FA-004,Fire alarm system,"Block C, 3rd floor",lab assistant,"Urgent - Smoke detector false alarm in the lab at Block C, 3rd floor.",Dirty smoke detector causing false alarms,Identify the zone on the panel | Clean or replace the smoke detector | Reset the zone and test it,smoke detector,800,2.0,High,True,0,0,Found dirty smoke detector causing false alarms. Identify the zone on the panel. Closed after a successful test run.,resolved,seed
MR-0083,2025-05-03,CCTV-004,CCTV system,Hostel 1 corridor,student,"CCTV camera offline, also camera feed keeps disconnecting, started yesterday.",Camera cable or PoE switch port failure,Check the camera power and cable | Test the PoE switch port | Replace the cable or move to a spare port,"PoE injector, network cable",1150,1.5,Medium,False,5,4,Found camera cable or PoE switch port failure. Check the camera power and cable. Recurring issue - 4 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0084,2025-05-06,PL-008,Plumbing,"Cafeteria, Ground floor",hostel warden,"Complaint from housekeeping supervisor: Water dripping from a pipe in the ceiling (Cafeteria, Ground floor).",Leaking pipe joint or fitting,Close the local water supply | Locate the leak and replace the fitting | Repair the damaged plaster and waterproofing | Pressure test the line,pipe fitting,1450,1.5,Medium,False,0,0,Found leaking pipe joint or fitting. Close the local water supply. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0085,2025-05-07,LT-001,Lighting,"Block D, 1st floor",security guard,"Lights buzzing and flickering in Block D, 1st floor.",Failed LED driver or ballast,Test the driver output | Replace the driver or ballast | Confirm stable lighting,"ballast, LED driver",900,1.5,Low,False,4,1,Found failed LED driver or ballast. Test the driver output. Recurring issue - 1 similar failure(s) earlier on this asset. Tested after repair; operating normally.,resolved,seed
MR-0086,2025-05-08,AC-010,Air conditioner,"Hostel 1, 1st floor",hostel warden,"Hissing sound near the outdoor unit and no cooling near Hostel 1, 1st floor, started last night.",Low refrigerant due to gas leak,Perform a pressure and leak test | Seal or weld the leaking joint | Vacuum the line and recharge refrigerant | Verify cooling and gas pressure,"refrigerant gas, copper joint",6450,4.0,Medium,False,2,1,Found low refrigerant due to gas leak. Perform a pressure and leak test. Recurring issue - 1 similar failure(s) earlier on this asset. Tested after repair; operating normally.,resolved,seed
MR-0087,2025-05-08,CCTV-001,CCTV system,Parking area,security guard,CCTV camera offline.,Camera cable or PoE switch port failure,Check the camera power and cable | Test the PoE switch port | Replace the cable or move to a spare port,"PoE injector, network cable",3400,3.0,Medium,False,2,1,Found camera cable or PoE switch port failure. Check the camera power and cable. Recurring issue - 1 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0088,2025-05-11,EP-005,Electrical panel,"Block B, 3rd floor",housekeeping supervisor,"Complaint from security guard: Earth leakage breaker keeps tripping (Block B, 3rd floor).",Earth leakage causing RCCB trips,Perform an insulation resistance test | Locate and fix the leakage or earthing fault | Replace the RCCB if defective | Verify earth resistance,earthing wire,1700,2.5,Critical,True,0,0,Found earth leakage causing RCCB trips. Perform an insulation resistance test. Closed after a successful test run.,resolved,seed
MR-0089,2025-05-14,AC-009,Air conditioner,"Block D, Ground floor",housekeeping supervisor,AC is not cooling properly. Reported by student.,Clogged air filter and dirty evaporator coil,Switch off and isolate the unit | Remove and wash or replace the air filter | Clean the evaporator coil with coil cleaner | Check airflow and run a cooling test,coil cleaner,650,1.0,Low,False,1,0,Found clogged air filter and dirty evaporator coil. Switch off and isolate the unit. Verified operation with the user before closing the ticket.,resolved,seed
MR-0090,2025-05-14,AC-010,Air conditioner,"Hostel 1, 1st floor",security guard,"Water leaking from the indoor AC unit in Hostel 1, 1st floor.",Blocked condensate drain line,Flush the drain line with air or water | Clear the blockage and clean the drain tray | Re-level the indoor unit | Run the unit and confirm no leakage,drain pipe,900,1.5,Low,False,3,0,Found blocked condensate drain line. Flush the drain line with air or water. Tested after repair; operating normally.,resolved,seed
MR-0091,2025-05-17,EP-006,Electrical panel,"Library, 3rd floor",hostel warden,"Complaint from admin staff: Earth leakage breaker keeps tripping (Library, 3rd floor).",Earth leakage causing RCCB trips,Perform an insulation resistance test | Locate and fix the leakage or earthing fault | Replace the RCCB if defective | Verify earth resistance,earthing wire,1900,4.0,Critical,True,0,0,Found earth leakage causing RCCB trips. Perform an insulation resistance test. Tested after repair; operating normally.,resolved,seed
MR-0092,2025-05-17,UPS-004,UPS,"Block C, 3rd floor",hostel warden,UPS backup lasts only a few minutes. Reported by admin staff.,Degraded battery bank,Run a battery discharge test | Replace the battery bank | Recalibrate battery runtime | Test backup on full load,UPS battery set,27950,2.0,Medium,False,0,0,Found degraded battery bank. Run a battery discharge test. Verified operation with the user before closing the ticket.,resolved,seed
MR-0093,2025-05-18,FA-002,Fire alarm system,"Block B, 3rd floor",security guard,"Fire panel not holding charge near Block B, 3rd floor, started two days ago.",Panel backup battery fault,Test the backup battery | Replace the battery | Verify the panel on mains and battery,12V sealed battery,1850,2.0,High,True,0,0,Found panel backup battery fault. Test the backup battery. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0094,2025-05-22,CCTV-001,CCTV system,Parking area,housekeeping supervisor,"CCTV camera offline near Parking area, started two days ago.",Camera cable or PoE switch port failure,Check the camera power and cable | Test the PoE switch port | Replace the cable or move to a spare port,network cable,450,2.0,Medium,False,3,2,Found camera cable or PoE switch port failure. Check the camera power and cable. Recurring issue - 2 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0095,2025-05-31,LIFT-005,Elevator,Admin Building lift,lab assistant,"Complaint from security guard: Step at the lift entrance on some floors, also lift stops slightly above the floor level (Admin Building lift).",Leveling sensor drift and brake wear,Recalibrate the leveling sensor | Inspect brake pads and brake gap | Adjust or replace worn brake pads | Run test trips on all floors,"leveling sensor, brake pads",7800,3.5,High,True,4,1,Found leveling sensor drift and brake wear. Recalibrate the leveling sensor. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0096,2025-06-01,UPS-001,UPS,"Lab Complex, Ground floor",security guard,"Lab Complex, Ground floor: UPS overload alarm, also UPS shutting down under load. Please check.",Inverter overload and faulty inverter board,Measure the connected load | Reduce load or shift equipment to another UPS | Inspect and replace the inverter board if faulty,inverter board,12900,1.0,Medium,False,4,1,Found inverter overload and faulty inverter board. Measure the connected load. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0097,2025-06-07,UPS-003,UPS,"Hostel 1, 1st floor",housekeeping supervisor,"UPS beeping with battery fault light, also computers shut down as soon as power goes in Hostel 1, 1st floor.",Degraded battery bank,Run a battery discharge test | Replace the battery bank | Recalibrate battery runtime | Test backup on full load,UPS battery set,14950,2.0,Medium,False,0,0,Found degraded battery bank. Run a battery discharge test. Tested after repair; operating normally.,resolved,seed
MR-0099,2025-06-08,AC-008,Air conditioner,"Block B, 1st floor",housekeeping supervisor,"Block B, 1st floor: AC trips and does not start. Please check.",Failed compressor run capacitor,Isolate power and discharge the capacitor | Test capacitor value with a multimeter | Replace the run capacitor | Check compressor amperage after restart,run capacitor,2200,1.5,High,False,2,1,Found failed compressor run capacitor. Isolate power and discharge the capacitor. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0100,2025-06-16,EP-004,Electrical panel,"Block B, 1st floor",faculty member,"Urgent - Flickering power with a crackling sound at Block B, 1st floor.",Loose terminal connection causing overheating,"Isolate the supply immediately | Tighten all terminal connections | Replace burnt MCB, wire or socket | Thermal-scan the board after repair",wire,3650,2.5,Critical,True,2,0,Found loose terminal connection causing overheating. Isolate the supply immediately. Closed after a successful test run.,resolved,seed
MR-0101,2025-06-16,LIFT-003,Elevator,Library lift,faculty member,Lift display blank and not moving in Library lift.,Controller board fault or overload trip,Check the MCB and main supply | Inspect controller board and relays | Reset or replace the controller board | Full safety-circuit test before release,controller board,15000,5.0,Critical,True,0,0,Found controller board fault or overload trip. Check the MCB and main supply. Tested after repair; operating normally.,resolved,seed
MR-0103,2025-06-19,RO-004,Water purifier,"Hostel 2, 2nd floor",student,"Hostel 2, 2nd floor: Water purifier giving low flow. Please check.",Clogged sediment filter and fouled RO membrane,Replace the sediment and carbon filters | Flush or replace the RO membrane | Test TDS after service,RO membrane,4200,1.5,Low,False,0,0,Found clogged sediment filter and fouled RO membrane. Replace the sediment and carbon filters. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0104,2025-06-19,AC-014,Air conditioner,"Sports Complex, Ground floor",student,"Sports Complex, Ground floor: AC dripping water on the floor. Please check.",Blocked condensate drain line,Flush the drain line with air or water | Clear the blockage and clean the drain tray | Re-level the indoor unit | Run the unit and confirm no leakage,drain pipe,350,1.0,Low,False,2,0,Found blocked condensate drain line. Flush the drain line with air or water. Verified operation with the user before closing the ticket.,resolved,seed
MR-0105,2025-06-20,PL-007,Plumbing,"Auditorium, 1st floor",lab assistant,"Water not draining from the floor trap, started last week.",Blocked drain line,Rod or jet the drain line | Clear the blockage and clean the trap | Flush with clean water,drain cleaner,2050,2.0,Medium,False,1,0,Found blocked drain line. Rod or jet the drain line. Tested after repair; operating normally.,resolved,seed
MR-0106,2025-06-21,DG-002,Diesel generator,Hostel power room,lab assistant,Urgent - Generator stalls under load at Hostel power room.,Clogged fuel filter and air lock in fuel line,Replace the fuel filter | Bleed air from the fuel line | Drain water from the fuel separator and check fuel quality | Run the set on load for 30 minutes,fuel filter,3350,2.0,High,False,2,0,Found clogged fuel filter and air lock in fuel line. Replace the fuel filter. Verified operation with the user before closing the ticket.,resolved,seed
MR-0107,2025-06-23,PL-007,Plumbing,"Auditorium, 1st floor",admin staff,"Auditorium, 1st floor: Foul smell and slow drainage, also washroom drain overflowing. Please check.",Blocked drain line,Rod or jet the drain line | Clear the blockage and clean the trap | Flush with clean water,drain cleaner,1150,1.0,Medium,False,2,1,Found blocked drain line. Rod or jet the drain line. Recurring issue - 1 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0108,2025-06-30,EP-005,Electrical panel,"Block B, 3rd floor",security guard,"Complaint from faculty member: Mild shock felt on a metal equipment body (Block B, 3rd floor).",Earth leakage causing RCCB trips,Perform an insulation resistance test | Locate and fix the leakage or earthing fault | Replace the RCCB if defective | Verify earth resistance,"earthing wire, RCCB",1100,2.5,Critical,True,1,1,Found earth leakage causing RCCB trips. Perform an insulation resistance test. Recurring issue - 1 similar failure(s) earlier on this asset. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0109,2025-07-01,AC-002,Air conditioner,"Block A, 2nd floor",student,"Complaint from housekeeping supervisor: Clicking noise from the outdoor unit and no cooling (Block A, 2nd floor).",Failed compressor run capacitor,Isolate power and discharge the capacitor | Test capacitor value with a multimeter | Replace the run capacitor | Check compressor amperage after restart,run capacitor,2050,1.5,High,False,3,1,Found failed compressor run capacitor. Isolate power and discharge the capacitor. Recurring issue - 1 similar failure(s) earlier on this asset. Tested after repair; operating normally.,resolved,seed
MR-0110,2025-07-01,AC-010,Air conditioner,"Hostel 1, 1st floor",student,"Water stains on the wall below the AC. Happening since this morning. Location: Hostel 1, 1st floor.",Blocked condensate drain line,Flush the drain line with air or water | Clear the blockage and clean the drain tray | Re-level the indoor unit | Run the unit and confirm no leakage,drain pipe,450,1.0,Low,False,4,1,Found blocked condensate drain line. Flush the drain line with air or water. Recurring issue - 1 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0111,2025-07-02,EP-001,Electrical panel,"Block D, Ground floor",security guard,"Complaint from lab assistant: Burning smell from the distribution board, also sparking near the switch board (Block D, Ground floor).",Loose terminal connection causing overheating,"Isolate the supply immediately | Tighten all terminal connections | Replace burnt MCB, wire or socket | Thermal-scan the board after repair","socket, MCB, wire",1250,1.5,Critical,True,0,0,Found loose terminal connection causing overheating. Isolate the supply immediately. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0113,2025-07-05,EP-003,Electrical panel,"Sports Complex, 2nd floor",security guard,"Urgent - Lights go off when the AC starts at Sports Complex, 2nd floor.",Overloaded circuit causing MCB trips,Measure the load on each phase | Redistribute the load across circuits | Replace the weak MCB if needed | Monitor for 24 hours,MCB,1300,1.5,High,True,1,0,Found overloaded circuit causing MCB trips. Measure the load on each phase. Verified operation with the user before closing the ticket.,resolved,seed
MR-0114,2025-07-09,AC-002,Air conditioner,"Block A, 2nd floor",lab assistant,"AC trips and does not start, also clicking noise from the outdoor unit and no cooling near Block A, 2nd floor, started this morning.",Failed compressor run capacitor,Isolate power and discharge the capacitor | Test capacitor value with a multimeter | Replace the run capacitor | Check compressor amperage after restart,run capacitor,2400,1.0,High,False,4,2,Found failed compressor run capacitor. Isolate power and discharge the capacitor. Recurring issue - 2 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0115,2025-07-09,LT-006,Lighting,"Sports Complex, 3rd floor",housekeeping supervisor,"LED panel not turning on. Happening since last week. Location: Sports Complex, 3rd floor.",Failed LED driver or ballast,Test the driver output | Replace the driver or ballast | Confirm stable lighting,ballast,1050,1.0,Low,False,0,0,Found failed LED driver or ballast. Test the driver output. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0116,2025-07-10,UPS-004,UPS,"Block C, 3rd floor",faculty member,"Complaint from student: UPS battery swollen or hot (Block C, 3rd floor).",Degraded battery bank,Run a battery discharge test | Replace the battery bank | Recalibrate battery runtime | Test backup on full load,UPS battery set,22850,2.5,Medium,False,1,1,Found degraded battery bank. Run a battery discharge test. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0117,2025-07-12,PRJ-002,Projector,"Auditorium, 2nd floor",faculty member,"Projector shows a pink or green tint near Auditorium, 2nd floor, started two days ago.",Faulty HDMI cable or input port,Swap the HDMI cable | Test other input ports | Replace the cable or port board,HDMI cable,1450,1.0,Low,False,1,0,Found faulty HDMI cable or input port. Swap the HDMI cable. Tested after repair; operating normally.,resolved,seed
MR-0118,2025-07-13,DG-001,Diesel generator,Main power house,faculty member,"Changeover switch not working, also power came back on the generator but the building did not switch over near Main power house, started last night.",Faulty ATS changeover contactor,Check the ATS control supply and logic | Inspect contactor contacts for burning | Replace the ATS contactor | Test changeover in both directions,ATS contactor,6350,3.5,Critical,True,2,0,Found faulty ATS changeover contactor. Check the ATS control supply and logic. Closed after a successful test run.,resolved,seed
MR-0119,2025-07-13,EP-006,Electrical panel,"Library, 3rd floor",lab assistant,"Mild shock felt on a metal equipment body in Library, 3rd floor.",Earth leakage causing RCCB trips,Perform an insulation resistance test | Locate and fix the leakage or earthing fault | Replace the RCCB if defective | Verify earth resistance,RCCB,2050,2.5,Critical,True,1,1,Found earth leakage causing RCCB trips. Perform an insulation resistance test. Recurring issue - 1 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0120,2025-07-16,LT-006,Lighting,"Sports Complex, 3rd floor",student,"Complaint from faculty member: LED panel not turning on (Sports Complex, 3rd floor).",Failed LED driver or ballast,Test the driver output | Replace the driver or ballast | Confirm stable lighting,"LED driver, ballast",250,1.0,Low,False,1,1,Found failed LED driver or ballast. Test the driver output. Recurring issue - 1 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0121,2025-07-18,PRJ-006,Projector,"Auditorium, 3rd floor",housekeeping supervisor,Projector image is dim and turns off. Reported by admin staff.,Projector lamp near end of life with dust in vents,Clean the air filter and vents | Replace the projector lamp | Reset the lamp timer,projector lamp,6100,1.5,Low,False,1,0,Found projector lamp near end of life with dust in vents. Clean the air filter and vents. Tested after repair; operating normally.,resolved,seed
MR-0122,2025-07-19,DG-003,Diesel generator,Admin Building basement,security guard,"Complaint from hostel warden: Generator only clicks when started, also generator auto start not working during the outage (Admin Building basement).",Weak or dead starter battery,Test battery voltage and load | Replace the starter battery | Check charging alternator and terminals | Do a start test on load,12V battery,7700,2.0,High,False,4,1,Found weak or dead starter battery. Test battery voltage and load. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0123,2025-07-20,UPS-003,UPS,"Hostel 1, 1st floor",student,"UPS backup lasts only a few minutes in Hostel 1, 1st floor.",Degraded battery bank,Run a battery discharge test | Replace the battery bank | Recalibrate battery runtime | Test backup on full load,UPS battery set,14800,1.5,Medium,False,1,1,Found degraded battery bank. Run a battery discharge test. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0124,2025-07-20,LT-003,Lighting,"Block B, Ground floor",lab assistant,"Complaint from student: LED panel not turning on (Block B, Ground floor).",Failed LED driver or ballast,Test the driver output | Replace the driver or ballast | Confirm stable lighting,"LED driver, ballast",650,1.0,Low,False,0,0,Found failed LED driver or ballast. Test the driver output. Tested after repair; operating normally.,resolved,seed
MR-0125,2025-07-23,DG-003,Diesel generator,Admin Building basement,housekeeping supervisor,Admin Building basement: Coolant leaking under the generator. Please check.,Coolant loss and radiator blockage causing overheating,Let the engine cool down and inspect for leaks | Refill coolant and replace the leaking hose or thermostat | Clean the radiator fins | Run a temperature test on load,"coolant, thermostat",3850,2.5,High,False,5,1,Found coolant loss and radiator blockage causing overheating. Let the engine cool down and inspect for leaks. Recurring issue - 1 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0126,2025-07-30,PRJ-006,Projector,"Auditorium, 3rd floor",student,"Auditorium, 3rd floor: Projector shuts down after 10 minutes. Please check.",Projector lamp near end of life with dust in vents,Clean the air filter and vents | Replace the projector lamp | Reset the lamp timer,projector lamp,6100,1.5,Low,False,2,1,Found projector lamp near end of life with dust in vents. Clean the air filter and vents. Recurring issue - 1 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0127,2025-08-05,CCTV-002,CCTV system,Main gate,hostel warden,No video from the camera in the parking area.,Camera cable or PoE switch port failure,Check the camera power and cable | Test the PoE switch port | Replace the cable or move to a spare port,"network cable, PoE injector",2950,3.0,Medium,False,1,1,Found camera cable or PoE switch port failure. Check the camera power and cable. Recurring issue - 1 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0129,2025-08-07,AC-005,Air conditioner,"Hostel 3, Ground floor",hostel warden,"Water stains on the wall below the AC in Hostel 3, Ground floor.",Blocked condensate drain line,Flush the drain line with air or water | Clear the blockage and clean the drain tray | Re-level the indoor unit | Run the unit and confirm no leakage,drain pipe,1000,1.5,Low,False,0,0,Found blocked condensate drain line. Flush the drain line with air or water. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0130,2025-08-08,LIFT-003,Elevator,Library lift,student,Library lift: Lift door not closing fully. Please check.,Dirty door track and misaligned door sensor,Clean the door sill and track | Realign the door sensor | Lubricate door rollers | Test door cycle 10 times,"door sensor, door roller",2850,3.0,Medium,False,1,0,Found dirty door track and misaligned door sensor. Clean the door sill and track. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0131,2025-08-13,AC-014,Air conditioner,"Sports Complex, Ground floor",lab assistant,"Sports Complex, Ground floor: AC is not cooling properly. Please check.",Clogged air filter and dirty evaporator coil,Switch off and isolate the unit | Remove and wash or replace the air filter | Clean the evaporator coil with coil cleaner | Check airflow and run a cooling test,coil cleaner,1350,1.5,Low,False,3,1,Found clogged air filter and dirty evaporator coil. Switch off and isolate the unit. Recurring issue - 1 similar failure(s) earlier on this asset. Closed after a successful test run.,resolved,seed
MR-0132,2025-08-17,AC-006,Air conditioner,"Hostel 2, 3rd floor",hostel warden,"Weak airflow from the AC vents near Hostel 2, 3rd floor, started this morning.",Clogged air filter and dirty evaporator coil,Switch off and isolate the unit | Remove and wash or replace the air filter | Clean the evaporator coil with coil cleaner | Check airflow and run a cooling test,"coil cleaner, air filter",750,1.5,Low,False,0,0,Found clogged air filter and dirty evaporator coil. Switch off and isolate the unit. Closed after a successful test run.,resolved,seed
MR-0133,2025-08-22,AC-013,Air conditioner,"Hostel 2, 2nd floor",student,"Water stains on the wall below the AC, also water leaking from the indoor AC unit, started last week.",Blocked condensate drain line,Flush the drain line with air or water | Clear the blockage and clean the drain tray | Re-level the indoor unit | Run the unit and confirm no leakage,drain pipe,500,1.5,Low,False,0,0,Found blocked condensate drain line. Flush the drain line with air or water. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0134,2025-08-24,EP-003,Electrical panel,"Sports Complex, 2nd floor",housekeeping supervisor,"Flickering power with a crackling sound. Happening since this morning. Location: Sports Complex, 2nd floor.",Loose terminal connection causing overheating,"Isolate the supply immediately | Tighten all terminal connections | Replace burnt MCB, wire or socket | Thermal-scan the board after repair","wire, socket, MCB",1100,2.5,Critical,True,2,0,Found loose terminal connection causing overheating. Isolate the supply immediately. Verified operation with the user before closing the ticket.,resolved,seed
MR-0135,2025-08-29,FA-003,Fire alarm system,"Block B, 1st floor",security guard,"Complaint from admin staff: Smoke detector false alarm in the lab (Block B, 1st floor).",Dirty smoke detector causing false alarms,Identify the zone on the panel | Clean or replace the smoke detector | Reset the zone and test it,smoke detector,2650,2.0,High,True,1,1,Found dirty smoke detector causing false alarms. Identify the zone on the panel. Recurring issue - 1 similar failure(s) earlier on this asset. Tested after repair; operating normally.,resolved,seed
MR-0136,2025-08-29,AC-008,Air conditioner,"Block B, 1st floor",admin staff,"Complaint from housekeeping supervisor: Hissing sound near the outdoor unit and no cooling (Block B, 1st floor).",Low refrigerant due to gas leak,Perform a pressure and leak test | Seal or weld the leaking joint | Vacuum the line and recharge refrigerant | Verify cooling and gas pressure,copper joint,6200,3.0,Medium,False,3,0,Found low refrigerant due to gas leak. Perform a pressure and leak test. Tested after repair; operating normally.,resolved,seed
MR-0137,2025-09-05,FA-004,Fire alarm system,"Block C, 3rd floor",housekeeping supervisor,"Urgent - Fire alarm went off with no smoke, also fire alarm panel beeping repeatedly at Block C, 3rd floor.",Dirty smoke detector causing false alarms,Identify the zone on the panel | Clean or replace the smoke detector | Reset the zone and test it,smoke detector,750,2.0,High,True,1,1,Found dirty smoke detector causing false alarms. Identify the zone on the panel. Recurring issue - 1 similar failure(s) earlier on this asset. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0138,2025-09-11,AC-002,Air conditioner,"Block A, 2nd floor",faculty member,"Weak airflow from the AC vents, also AC takes hours to cool the room, started yesterday.",Clogged air filter and dirty evaporator coil,Switch off and isolate the unit | Remove and wash or replace the air filter | Clean the evaporator coil with coil cleaner | Check airflow and run a cooling test,air filter,1350,1.5,Low,False,5,0,Found clogged air filter and dirty evaporator coil. Switch off and isolate the unit. Closed after a successful test run.,resolved,seed
MR-0139,2025-09-15,PUMP-002,Water pump,Hostel 1 pump room,faculty member,Hostel 1 pump room: Pressure dropping in the overhead tank supply. Please check.,Worn mechanical seal and loose pipe joints,Replace the mechanical seal | Tighten and reseal pipe joints | Check the pressure gauge,gasket,2150,2.5,Low,False,2,0,Found worn mechanical seal and loose pipe joints. Replace the mechanical seal. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0141,2025-09-16,PRJ-007,Projector,"Block C, 2nd floor",admin staff,"Complaint from housekeeping supervisor: No signal on the projector from the laptop (Block C, 2nd floor).",Faulty HDMI cable or input port,Swap the HDMI cable | Test other input ports | Replace the cable or port board,HDMI cable,750,1.0,Low,False,2,2,Found faulty HDMI cable or input port. Swap the HDMI cable. Recurring issue - 2 similar failure(s) earlier on this asset. Tested after repair; operating normally.,resolved,seed
MR-0143,2025-09-22,AC-011,Air conditioner,"Lab Complex, 3rd floor",security guard,"Complaint from admin staff: Water leaking from the indoor AC unit (Lab Complex, 3rd floor).",Blocked condensate drain line,Flush the drain line with air or water | Clear the blockage and clean the drain tray | Re-level the indoor unit | Run the unit and confirm no leakage,drain pipe,400,1.0,Low,False,1,0,Found blocked condensate drain line. Flush the drain line with air or water. Verified operation with the user before closing the ticket.,resolved,seed
MR-0144,2025-09-22,PRJ-001,Projector,"Block A, 2nd floor",student,"Block A, 2nd floor: Projector showing lamp warning. Please check.",Projector lamp near end of life with dust in vents,Clean the air filter and vents | Replace the projector lamp | Reset the lamp timer,projector lamp,4100,1.5,Low,False,1,1,Found projector lamp near end of life with dust in vents. Clean the air filter and vents. Recurring issue - 1 similar failure(s) earlier on this asset. Tested after repair; operating normally.,resolved,seed
MR-0145,2025-09-24,PL-004,Plumbing,"Hostel 3, 2nd floor",housekeeping supervisor,Washroom drain overflowing.,Blocked drain line,Rod or jet the drain line | Clear the blockage and clean the trap | Flush with clean water,drain cleaner,1000,1.0,Medium,False,1,1,Found blocked drain line. Rod or jet the drain line. Recurring issue - 1 similar failure(s) earlier on this asset. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0146,2025-09-24,PUMP-001,Water pump,Block A pump room,security guard,"Motor running but no water lift near Block A pump room, started last night.",Loss of prime and leaking foot valve,Stop the pump and re-prime it | Inspect and replace the foot valve | Check the suction pipe for air leaks | Run the pump and confirm tank filling,foot valve,2350,1.0,Medium,False,0,0,Found loss of prime and leaking foot valve. Stop the pump and re-prime it. Verified operation with the user before closing the ticket.,resolved,seed
MR-0148,2025-09-28,RO-002,Water purifier,"Admin Building, 1st floor",housekeeping supervisor,"Complaint from admin staff: Water is at room temperature (Admin Building, 1st floor).",Cooling unit failure in the water cooler,Check thermostat and compressor | Recharge gas or replace the thermostat | Test the cooling cycle,"refrigerant gas, thermostat",2800,2.0,Low,False,3,2,Found cooling unit failure in the water cooler. Check thermostat and compressor. Recurring issue - 2 similar failure(s) earlier on this asset. Tested after repair; operating normally.,resolved,seed
